"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
0.8855798,0.2727024,-0.1910635,NA,1.5291778,0.5030597,0.9270081,-0.2019114,2.1030486,NA,2.4341156,2.8584063,NA,1.3598176,1.6495009,0.5952883,2.105783,2.1169139
-2.262116,-1.6731257,-2.4048623,NA,-3.2222094,NA,-2.3073052,-1.7165357,-4.0381967,-0.606154,-1.0912092,-0.2568995,NA,-0.0287597,-0.6032765,0.2915142,-1.1668174,-1.3976003
-0.8092528,-0.4269479,0.1306923,-1.1973813,-1.2723483,-2.1890047,-0.6977186,-1.3441635,-0.6726791,-1.2790672,0.4726649,-0.2591668,-1.7889525,-1.2023448,-0.1743024,-1.005131,0.6531127,-0.7163642
1.5219002,-0.6458923,-0.0216556,1.7292863,0.9064926,-0.1981633,0.69261,0.1690882,-0.550226,NA,1.2878938,0.8338975,-1.0399485,-0.5738238,-1.4448064,-1.7707214,-0.3243039,-0.4662179
-0.954248,-0.9676481,-0.2503653,-0.0227134,0.194172,-0.3058609,-0.3566656,-0.1773987,0.0174708,-1.1599324,-1.0306578,-0.5219993,-1.1279301,-0.7915157,-0.6614588,-1.3125715,-0.3696161,0.2153585
-1.9806845,0.8020969,0.4810226,-0.6882994,-1.0757271,-0.6296682,-1.674246,-1.7273745,-1.4138329,0.770666,-0.6036316,-1.0085591,-0.3144228,-0.5936611,0.3419059,1.2256805,0.5310889,0.7422569
-0.7708045,-0.5874156,1.1035836,NA,0.4444389,0.2046335,0.610734,-0.2269292,0.3097645,NA,-1.019343,-1.5587328,NA,-0.3008519,-0.2622678,NA,-1.2393116,-1.512765
0.6427596,0.5974866,-0.5196706,-1.3107332,-0.6277298,0.7188165,-1.8480725,-0.6901489,-0.5970762,-0.2389584,-0.3184667,-0.4120773,-0.4625444,-0.9008532,0.1212007,-0.7493858,0.4429754,-0.2602601
0.0203563,0.6818743,-0.1732043,1.2380328,1.7625962,0.9306081,1.5771321,1.8248054,0.4448979,-0.2194534,-0.1675956,-1.8846884,-0.7280548,0.3557713,-2.1516106,-0.3266946,0.4644807,0.6437355
-0.1714456,-0.8584084,1.1442906,0.947645,0.2994599,-0.8394527,0.2055466,1.074869,1.0563857,0.1955286,-0.2214576,0.8056962,0.5948821,-0.1028038,1.8173409,0.1983893,-0.4357533,-0.3727128
-0.6490361,-0.3222133,-0.3237285,0.7715832,-0.5714186,-0.232096,-0.0253919,-1.0983967,-1.062701,NA,-0.1892268,0.7253249,0.5385479,0.5924111,-0.4564974,-0.1281235,0.5174,-1.4970145
-0.6905003,0.1993195,0.0622917,0.0954127,0.6461042,0.7636741,-1.5362314,-1.7650305,0.0099011,-0.3925097,0.339169,-0.1541944,-0.1352185,-0.0792395,0.7059218,0.0543154,0.1819983,0.6907525
0.1004149,1.4737363,0.7101174,NA,1.1359049,0.1210659,0.005673,0.9818729,0.390813,-0.1920539,0.2232216,-0.127519,1.1465201,0.3334174,1.2862035,2.1191488,1.1914029,1.0118802
0.5446463,0.4268547,-0.8078775,NA,0.6015348,-1.129876,-0.3074195,0.4230174,0.6832123,0.7384382,-0.3598259,-0.1309575,0.0446999,0.1286844,0.5026987,-0.2369807,-1.0219214,0.0960472
-0.9985789,0.2900597,-0.315036,0.482864,0.0476241,-0.7718759,0.3448307,0.1046182,-0.1414033,-0.2879902,0.7175648,-0.7797148,-0.310873,0.1167701,-0.9675489,0.4390008,0.3091962,-0.3466282
-0.031898,0.488435,-0.1150544,-0.6662828,1.0980913,1.456806,1.5903583,-1.2062465,0.0017823,-1.503183,0.0224836,-0.4358317,1.0965985,0.2112559,-0.4046326,NA,0.6305408,-0.8506034
-0.8323312,-1.791744,-0.40153,-1.9239897,-1.607383,-1.1350896,-0.719347,-1.248621,-2.0613816,NA,0.5744867,1.0545893,NA,2.5478282,1.1252228,NA,2.1014464,0.4835344
-0.8373402,-2.2814978,-0.7200649,-1.362073,-0.9088273,-0.3986263,-1.264613,0.0081365,-1.6434532,-0.6568608,0.1531022,-0.2903501,-0.0591583,-0.4639667,-0.0209575,0.3446477,-0.0345244,0.2840509
-0.2208032,-1.2788614,-0.1704606,-0.0184352,-0.5191152,-0.5959289,-0.8558539,-0.6829004,1.0310163,NA,0.8560832,0.70681,NA,0.9302129,1.5419169,0.4750291,0.3458253,-0.388861
0.2636875,0.4758468,0.4923385,NA,-0.360852,0.2775564,0.7020713,0.7735974,1.7812749,-1.210448,-2.336612,-1.0873532,NA,-0.1285663,-1.7667169,NA,-2.2417289,-1.2271657
0.1712236,-0.407479,1.1087243,-0.4601042,-0.1510669,0.444791,-0.8112015,-0.7830822,0.482325,0.1166653,-0.2993252,0.1273634,0.5819518,-0.0050114,0.2470431,0.5565272,0.0959975,0.0682187
-0.1006901,0.0023812,-0.2673637,-0.1674706,1.2150327,0.7436463,0.8852984,0.1628092,0.7771059,0.853526,-0.5181738,0.9944402,0.4115774,1.8524323,-0.1903464,-0.3445342,-0.1811842,0.9930681
-1.173117,-0.0323589,1.5949517,0.8992654,1.6372462,0.9411798,0.2519825,1.9038698,1.2155485,0.8926111,1.9071289,-0.2236896,1.2528908,0.8852464,0.0250053,0.9519991,1.5458293,-0.0357915
1.3016338,-0.6441178,1.2117284,0.4570808,1.398589,0.6208335,-0.2681204,1.5498904,0.8512374,1.2551622,0.0272332,-0.2076964,-0.2345496,0.724309,0.3437432,0.4066748,1.5856291,1.9422681
-0.1865224,-0.2879637,-1.8744453,-1.9464846,0.0311593,-1.199418,-0.8948791,-1.7210482,-0.6938204,-0.1343483,1.1612198,-0.6443394,-1.0557759,-0.0430616,-0.8462357,-0.0412022,0.8181384,0.3818717
-0.4607979,0.726906,-0.0855479,NA,0.0530801,-0.7086235,-0.2067345,0.1403385,-0.0181558,NA,-0.8380777,-1.1820667,-1.1781469,-1.907328,-0.2484473,NA,-0.4790327,-1.6745746
-0.7464907,0.2372887,-2.3218661,-1.3614076,-1.1256872,-1.5823465,-1.4981009,-1.2228853,-1.7315279,-1.0193808,0.0076427,-2.1043475,-0.4185093,-2.2910284,-0.8976239,-1.896716,0.4610696,-0.1842307
-0.0777169,0.1847409,-0.273677,0.7952046,-0.5979786,-1.2091761,-0.3523768,0.5959679,-0.0801715,0.185933,0.7150378,0.1556862,0.4296524,-0.2676879,1.357,NA,1.9512167,0.7712182
-1.1086479,-0.2676856,0.1158973,-0.3078053,-0.5648472,-0.9532571,-0.4961654,-1.9643085,-0.9919204,-0.3762768,-1.3377052,-0.5974533,0.8298929,0.3825541,-0.6083311,-0.7434548,0.3135565,0.0752386
1.14068,1.0464706,0.0737256,-0.1315676,1.0722844,NA,0.6668139,-0.4600742,0.1855915,0.3906692,1.1717201,0.4221065,NA,0.6569084,0.6224348,1.2168244,1.5512821,1.303922
NA,0.8892167,-0.058064,NA,0.3077096,0.0372122,-0.193841,-0.2587176,0.4433844,0.4943337,0.4977018,-0.1431058,0.3973873,-0.1723698,1.4715018,0.05898,-0.8027728,-1.4090847
0.7163066,0.4862673,0.8960758,-0.3200876,-0.522854,1.2912271,0.1675246,0.6383253,0.8210205,-0.8554815,0.3024272,-0.1325852,-0.376643,-1.7776137,0.1648906,0.6755095,-0.0393752,-0.9552366
-1.5664862,-0.3753002,-1.580629,-0.8469644,-0.6488009,0.4377667,-1.4409626,0.4974693,-0.0904662,-0.7261076,-0.9574791,-0.7221099,-0.0380982,-0.0648684,-1.1730019,-1.2589517,-1.4673856,0.05797
0.2364009,-0.5439249,-0.7275096,-1.1809419,-1.247723,-0.9596989,-0.7920926,-0.2932629,-1.2601265,1.5156899,0.7818431,0.0742064,-0.9871596,-0.1618307,-0.3394778,1.2086745,-1.154781,-0.7579859
0.2614399,0.2816087,-0.4341998,-1.333051,-0.0159457,NA,0.8687112,0.9087797,-0.4693203,0.6522195,0.6796858,0.7235908,1.3467769,0.8137105,1.4703685,0.0870584,1.5301169,2.1516526
-1.0658575,-0.558586,-0.7544574,-0.1394849,-0.6687213,-0.3461786,-0.2448054,-1.0973692,0.4012377,-2.2770146,-0.1207787,-1.2612912,-1.4556723,-2.0783481,-0.1907885,-2.306756,-0.7312588,-0.6011497
0.3165931,-0.616377,0.7904172,0.5494684,0.661745,-0.2494594,0.2983624,-0.2011567,0.1278055,1.3253825,-0.9665304,-0.1505489,1.5390573,-0.1091354,0.6616213,0.7201363,0.286625,0.9747212
0.5417076,0.4087987,-1.1874969,-0.0011374,0.621615,0.9392198,-0.2342225,1.1493588,0.3845119,NA,-1.3740987,-0.8716949,-1.321485,0.4878773,0.6615087,-1.0384375,0.333296,-1.1116909
NA,-1.725593,-0.3120248,-0.5938835,0.3267201,NA,-0.2562447,0.867213,-0.3477316,-0.1246987,-0.258069,0.9671671,-1.9444721,0.0351597,0.1461719,NA,1.6240756,-1.0415949
1.8777475,0.4774923,2.0594096,2.0182505,1.7806481,1.7810293,0.1224176,2.8881642,0.7984262,NA,1.3318774,1.3983014,0.9319551,0.7046007,0.237421,NA,2.0668215,0.2626176
-1.3954896,0.044168,0.5890908,0.4882098,1.3555424,NA,1.2002688,0.9777284,-0.0905298,1.8750171,0.4985737,1.7981442,NA,0.6060182,0.5547536,NA,1.4299311,1.3551865
-0.8467395,0.199047,1.2940392,0.693046,0.1643773,1.0216414,-0.1219795,1.7393183,-0.218726,1.1886868,-0.3064773,-0.1285906,0.8958639,-0.6125365,-0.5951758,NA,0.6753944,1.5215282
-1.9041196,-0.0817061,0.110709,0.2418283,-0.5685464,0.037943,-1.103408,-1.5401705,-1.6502519,0.8498901,0.8751496,0.1374284,0.5433884,1.1386236,1.8781167,0.6539257,-0.8227172,0.2079359
-1.6665714,-0.3848584,-1.1783395,-0.8546284,-1.0188156,-0.9938683,-0.0801264,-1.2787742,-0.1679064,NA,2.0823065,1.1549343,-0.1265134,0.6473229,1.8667726,0.5842233,-0.8231273,1.1239258
0.0367121,0.047295,0.1366301,0.7687973,0.4260189,-1.1243598,0.6173634,0.0079547,-0.7583297,0.9077041,1.4780898,2.8549236,-0.2971203,-1.0496356,0.0168445,NA,0.9990502,0.221346
-0.2197064,-0.0531212,-0.1727681,0.454413,-0.5810675,-0.812156,-0.9054671,0.3509415,-0.7268741,2.0582429,-0.4812419,0.7597423,1.0251615,-0.9814536,0.0343164,0.0571494,-0.1549772,0.7125413
0.5298015,0.014984,1.1793368,-0.2033773,0.1362647,0.0507508,-0.4239873,-0.3054418,-0.9792015,0.9333948,-0.0783424,-0.3041338,NA,0.5090542,-0.2273171,1.6757523,1.5664174,1.8304996
0.2989439,1.6796753,0.5610827,NA,0.6132195,-0.2056082,-0.3972234,1.2293255,0.342779,NA,0.587115,1.2902296,0.6057192,1.8800538,1.3195116,0.2958765,-0.5204546,1.6314944
-1.4709649,-0.9284553,-1.0540406,-0.7916849,-1.8188616,-0.1566327,-0.964254,-1.1306568,-1.2862766,-0.8296249,-0.3176431,0.7640444,1.3155023,-1.3662083,-0.2897121,-1.4876528,-1.0355009,-0.3933139
NA,2.2278663,0.2113735,0.566291,0.9896239,0.2027512,1.3908673,1.4728398,1.080116,NA,-0.0183902,-1.3056538,0.9474637,0.0616438,0.2650049,-0.4315495,-1.7827498,-1.2578433
NA,0.6759675,-0.9965618,-0.2971014,-0.1929453,0.7530313,0.1280754,0.4498393,1.1154824,-0.3245092,-0.7406629,0.7032182,0.0615387,-1.7071398,-0.9337995,-0.1013136,-0.4993403,-0.4657152
-1.5222892,0.3377437,0.8138089,2.5153052,0.4411855,-0.451077,-0.1983126,0.0685039,0.2386299,NA,1.2861569,-1.7796793,-1.2367892,0.5194816,-1.1802924,-0.2722492,0.0467703,-0.2821102
NA,0.5886368,-2.1453648,-0.9375748,2.0502401,0.1015689,0.6171053,0.5369615,-1.4028333,-0.0965713,-0.1377195,-0.4948126,-0.4785031,-0.2042875,-0.0004365,NA,0.5032108,-0.6463961
0.5005281,-0.0174255,0.8499695,0.6312619,-0.0933277,0.2495929,0.3549852,0.0803201,-0.1505769,0.3461415,-1.1987701,2.4578592,1.0692124,-0.1542718,-0.913472,0.719292,1.1347684,-0.576763
-1.3692027,-0.3555656,2.0262243,-0.8045581,0.0176814,-1.2117311,-0.9536783,-0.1253894,-0.0229204,-0.9994883,0.3774007,0.1875068,1.1099779,0.4937227,-0.4089813,-0.7403804,-0.3306015,1.5583545
-0.216843,-0.8807973,0.278914,0.272169,-0.6080395,0.3311359,-0.1547106,0.523513,1.1540019,-0.8247031,0.6715954,1.7021193,-0.7119924,-1.076039,1.3752103,-0.9965652,-0.7014346,-0.078512
NA,1.164091,1.5921214,NA,1.264157,NA,0.5492549,-0.2480836,1.4202033,0.9294074,-1.7468675,0.9089565,0.1748651,-0.6942559,-0.9320436,-0.5788433,-0.8217181,-0.6728499
NA,0.532658,-0.0500559,-0.3517891,-0.1923529,-1.0693912,-0.1995066,-0.5317963,0.7213426,-1.1693427,-0.1788239,0.2849109,-1.543716,0.4490568,0.9566412,-0.9057041,-0.1057531,-0.1546014
1.0328638,-1.0250183,-0.7340696,-0.3156272,-0.6697306,0.0216689,-0.5526911,-1.5402861,-0.0118206,-0.4310407,-0.6562094,1.2872169,0.3699204,1.5635133,-0.634018,-0.7099654,-0.7147177,-0.4148403
0.3478568,-0.1842213,-1.5670247,-0.9784303,-0.9332798,-1.5996696,0.2785236,-0.4771933,-0.8087569,0.4050464,0.6000792,0.0164957,1.607923,0.3149003,0.2228267,1.9241214,0.5730931,1.4455872
0.45037,-0.3046496,0.9674118,NA,0.8916027,0.0622464,-0.2322914,0.3432299,-1.2732765,NA,-0.6117104,-0.5524315,NA,-0.8461028,-2.0805257,-0.6964073,-4.0131663,-1.992286
0.6868341,0.1836903,0.2945646,0.6824969,0.312404,-0.4733235,0.5489018,0.2040379,0.6043865,0.7055785,-0.2987156,-1.0612487,-0.6844107,-0.1880463,-0.3146362,-0.4057941,-0.4382182,-0.858523
1.0596188,0.6942761,0.4954966,-0.1595007,-0.7134151,NA,0.9002385,-0.3514243,-0.4874748,-1.7178846,-0.9769542,-1.4225087,NA,-0.0958679,-0.0738385,-1.0472888,-1.7238832,-1.2039382
2.0192213,0.6847394,3.930595,0.4810906,-0.8535828,NA,1.4395784,0.6614198,-0.5696814,2.1997803,1.4175844,1.4489919,1.6548942,1.159827,1.3364093,0.6466186,0.951892,1.9192455
NA,1.4177594,-0.8691252,NA,-0.5969678,0.4333627,0.378728,0.5243023,0.5534114,-2.2634294,-0.7101111,-0.5148908,0.4241988,0.019328,-0.4692315,-0.4993881,0.2182992,-1.9188088
0.8698782,0.297504,-0.0341487,0.578856,-1.2169153,-0.6781008,-1.2937599,-0.009203,-0.0488161,0.6532776,-0.0264164,-0.4310059,NA,1.0875427,0.4282337,0.5617575,0.793075,1.3690221
-0.2211507,-0.458626,-0.9772184,-0.0246478,0.0479414,-1.1840194,-2.0745799,-0.7956536,-2.0388462,-0.2647634,-0.2487361,1.0567704,0.1633138,-1.4190031,0.4267711,-0.4073126,-0.675091,-0.5579257
0.0020234,-1.3108725,-1.2495413,0.7274528,-1.4246674,-0.5169177,-1.0928109,-1.0342517,-1.6761771,-1.2945756,-2.5600205,-1.2849696,-0.7717746,0.8246421,0.0318283,-0.2771958,-1.142523,0.2534862
0.2091561,0.6222158,0.3104517,0.2816051,-1.6751414,-1.089203,-1.2588975,-0.4059028,-0.0220464,-2.6623551,-0.4130381,-1.1473564,-2.6147237,0.039435,-1.0848003,-1.5554606,-0.8785829,0.2839499
0.9407167,-0.4156177,-0.0214022,0.1943028,-0.1673736,NA,-0.9105707,0.2300526,0.7326554,0.4921318,-0.4611633,-0.3527949,-0.5330972,-0.8461457,0.2406027,NA,-1.0359784,-1.3540744
-1.2519903,0.1463305,1.869922,0.3749799,-1.3259663,0.2799482,0.1871902,-0.7008713,-0.958681,-1.4869751,-1.3784161,-1.7392133,-1.7671389,-1.2777109,-2.2720099,-1.2842495,-1.1448077,-0.6464332
NA,0.546251,-0.0906889,-1.8390263,0.1927176,NA,0.6832225,-0.1416149,0.2588079,1.14923,-0.5603587,0.2058937,0.1437466,-1.4012421,1.3918314,1.4791669,0.0127464,-0.628999
-0.8395395,0.0606903,0.5102406,-0.3784682,-1.8282094,1.2905437,-0.6975823,-0.1031931,0.3040263,-0.4180646,-0.3128651,1.171616,1.0986051,1.0227523,-0.7514055,-0.3251536,-0.697168,0.14181
NA,0.9731029,1.2292519,1.8741943,0.3395078,NA,1.2558428,0.9442534,0.7224381,0.9434998,0.490603,0.076696,1.9545753,-1.1705349,0.5972591,0.8965942,-0.8626684,-0.1168418
0.2687456,0.5644032,-0.054749,NA,0.57519,-0.004481,2.2729666,1.0321322,0.8780507,0.9173221,-0.2015916,0.2619528,-0.0195702,-0.3320095,0.3400962,-0.0314853,1.1757417,-0.5466854
-0.5214398,-0.5121131,-1.1609954,-0.4084592,-0.3577334,0.498828,-0.9930375,0.5830231,0.8485352,0.5987574,-0.9660009,-0.6943972,0.9657286,-0.5902971,-0.0655105,0.3298425,0.9275736,-0.6082067
NA,0.8320219,0.7994305,-1.1854637,1.3704841,-0.0141798,1.1705599,1.2459504,1.3931986,NA,-0.7795077,0.1109195,NA,-1.9128615,-0.9712276,-0.9246888,-1.3172243,-2.28476
-0.2715045,-0.3206472,-0.8926822,-0.4935215,0.704977,-0.0471812,-0.6677451,-1.7124641,-1.3545683,-1.4890191,-0.1865475,1.8910147,0.394218,-0.4187362,-0.0385872,0.9309463,1.2395026,-0.7423877
NA,0.5177768,0.0612796,1.5462448,0.5612677,NA,2.9482092,1.1946292,1.0008495,-0.760685,-0.7747971,0.026111,0.5425382,-0.3975144,-0.7732198,-0.3933815,0.9574791,1.0249423
-0.644993,-0.264609,0.5209858,NA,1.5596821,-0.3396308,0.5188093,-0.777549,-0.1870627,NA,0.9809235,-0.37064,NA,0.6107425,0.7082079,0.3849683,0.9397607,1.6818048
NA,2.0975257,1.1786667,NA,1.1052463,NA,1.378669,0.8059877,0.3429682,-1.0092601,-0.5414554,0.3785358,-0.3186069,-1.5198285,0.4878086,-0.8855102,-0.3529024,0.4326115
-0.3569778,0.9116383,0.2469061,0.4221179,1.2823724,0.6398608,0.8540504,0.3096436,-0.1391171,1.6447499,-1.2355512,0.678514,1.5034337,0.3351686,2.5343421,1.4081258,-0.9631792,1.6716434
-1.4808544,-0.167742,0.9613613,-0.2587128,-0.0932422,NA,0.7189442,-0.8943023,0.8374162,0.3698305,-1.2632839,-0.7502809,-0.0814196,-0.5411873,-1.5872615,NA,0.1241557,-1.2992642
-0.5895816,-0.8619879,-0.6570084,-1.327051,-1.144948,-0.9902067,0.1052317,-0.3241552,-0.7009125,0.4728958,0.7202978,0.023705,-0.226292,1.073418,0.6224103,0.5138345,0.4588217,0.8094049
0.6418791,0.9470046,-0.5436528,-0.4223915,-0.665315,-1.6210028,-0.7324309,0.2121867,0.1354483,0.2801366,-0.728127,0.7264225,NA,0.8357443,0.9903251,NA,1.0369599,0.2430344
0.0506969,-1.5201515,0.0601683,1.0225161,-0.4667119,NA,-0.4735648,-1.3379345,0.1182237,-2.5239756,-1.8838588,-1.9538437,0.2716755,-2.8032804,-0.5112767,-2.2596412,-2.1789858,-2.1068383
0.1726645,-0.1914877,0.4204311,0.8754961,0.6910517,1.2678831,-1.2262514,-0.3956358,0.6197243,1.190084,2.3285322,1.2921026,NA,2.1941387,1.2028017,1.390123,2.4655304,2.3889021
NA,1.239594,0.0485999,-1.686121,-0.3549523,NA,0.5373368,-0.5058104,-1.1407601,1.1118357,1.5493085,-1.1517387,0.8573681,-0.7698215,-0.1781405,0.308357,-1.1629659,-0.0978876
0.4572994,-0.7766929,0.4607475,0.0528699,0.2957907,-1.1905702,0.1804972,-0.465916,-0.1223807,-1.1287545,-0.48938,-0.3490211,-0.2424638,-0.5049542,-0.4533603,-1.3151877,-0.8285222,-0.1947084
1.5857721,1.8907384,1.7769273,NA,1.5110604,NA,1.5112841,-0.2976654,-0.2761224,1.3221283,1.0816415,1.081071,1.0380331,0.8599974,1.4276647,0.2742581,2.2097434,0.4458608
-1.4285492,-1.1387885,-0.6616533,-1.0074045,-0.0214773,-0.4541476,-0.968127,-1.5296158,-0.2820198,0.9699414,-1.7024607,1.4324608,-0.3170975,-0.0454715,-0.5266573,0.7954904,-0.5414419,-0.3719442
0.321745,-0.0649797,-0.3845487,-0.2845589,-0.7653144,-0.8410978,0.1228989,-0.2396443,-0.8679458,0.3423206,0.9621725,-0.3804134,1.3306067,1.7389187,1.468033,-0.4233935,1.1558551,-0.274981
0.6742095,0.6598753,0.63868,NA,1.2093647,NA,1.5685158,-0.0399505,-0.1758197,-1.8712926,-0.5540256,-1.2161732,-0.4596105,-0.6509328,0.2915439,-0.8647945,-2.2109476,-0.8007921
1.1159515,-0.6783056,0.3823623,-0.1336287,0.0136279,NA,1.3247698,1.0643916,1.132617,0.9470655,-0.7410787,0.9464102,3.0259688,1.5991358,0.73278,1.4620052,0.5492543,1.8145865
2.0087847,0.3529367,2.4417656,1.395616,1.915118,1.4351536,1.6868955,1.5015605,2.5055634,0.130652,-0.2591162,-0.1010063,-0.7605816,0.2903152,-0.7064521,NA,0.8774742,-0.1001453
0.1669292,-0.3388159,1.2839579,NA,0.5566469,0.4801101,0.7044655,-0.2923972,0.1863823,2.7466072,0.3918449,0.7206743,-1.0557882,0.1137847,0.0060519,0.8225355,0.8380531,0.2173907
-0.7313514,0.358265,0.8028792,1.3362325,0.3999005,0.6189167,-0.1751763,-0.0774006,1.5879897,0.1800173,-0.57057,-0.2775929,-1.640925,0.6477767,1.4554256,0.8822874,0.6551721,0.4650318
0.530707,-0.2903479,0.9847869,-0.088652,1.0812196,0.6182062,1.650272,-0.4520357,1.5895232,NA,-0.4914903,-1.0900057,0.302058,0.268529,-2.1754631,NA,-0.1125112,-1.1240151
2.1323152,2.0331455,1.6241561,NA,1.8335611,1.5900169,0.2063376,0.7776647,0.671382,-0.3956783,0.3504504,-0.5644688,0.5207196,-0.1713376,-1.7789886,1.0913524,0.4222153,-0.0233891
NA,-1.6211989,-1.5063115,-2.2399638,-2.0142125,-0.3011642,-1.5605902,-1.6004537,-1.0595857,0.0647709,-1.9941079,-1.3160092,NA,-0.1102993,-0.6659131,NA,0.4510601,-1.0365297
-1.465882,0.5131703,-0.382394,-2.142754,-1.4384149,NA,1.4080467,-0.5125719,-0.2527164,-1.6707535,0.8896775,0.1976512,0.1015724,-1.21975,0.1509575,-0.7529984,0.5558923,0.7748488
0.0607978,-0.4315131,-1.1747465,-0.6553692,0.1159735,-1.0684879,-1.9990403,0.0701225,-1.1510934,-0.4651136,-0.4760884,0.0127259,0.1382553,-0.3896826,-1.5277863,-1.0096306,-0.5911749,-0.0329424
0.2872022,-0.8689185,1.1118163,-0.7886529,-1.0293192,0.5023628,-0.6578732,-1.1384254,-1.6336083,1.1153657,0.8380961,-0.9842454,NA,0.7383831,-0.5796319,0.6004349,0.1373356,0.2706186
-1.1732747,-0.4329625,-0.6702504,-0.9155774,-0.1839635,-1.921549,-1.7738119,-3.3012221,-1.8028061,-0.3827678,-0.5980865,-0.7685106,-0.5281684,0.1242265,0.0779604,-0.0685559,-0.5411658,0.405864
-0.5515772,-0.0806294,-0.3479537,2.1929507,0.131931,-0.9155101,-0.5512987,-0.8164216,-0.9468457,-0.7006585,0.3406139,0.398879,0.2331027,-0.6483865,-0.5978168,-0.2292875,-0.4167302,1.7058198
-0.6069926,-0.8229635,-0.3246523,-0.2472866,-1.1856057,0.1505173,0.0811181,-0.6160779,-0.2391709,0.3274291,-0.6757823,-0.2785716,NA,-2.0057484,-1.4941084,-1.5695571,-0.8986008,-1.5645822
-1.6286622,-0.8988975,-0.6034944,0.4382985,-0.6320732,0.0284086,-0.1601547,-0.1315496,-1.3213557,1.2349916,0.9683358,-0.044442,0.2770042,0.8952831,-0.1363626,0.9113533,-0.1279035,-0.3372928
NA,0.7107052,1.063469,-0.1394261,-1.2871298,0.743911,-0.1572681,0.6961124,-0.3016695,-0.3303505,-0.699977,-0.0985358,-0.895899,-0.3830422,-0.7935299,NA,-0.9314887,-2.1543832
0.5343602,-0.5142629,-0.2591721,NA,1.9963901,-0.6934326,-1.0708606,-0.6067132,-0.3335671,2.7599208,1.6700537,1.9493787,NA,1.7339609,0.3294733,2.0363448,1.9055452,2.9781127
NA,-1.1357423,-0.8344965,NA,-2.3301695,-1.7789765,-1.1608013,-1.8087019,-1.8284476,-0.1580721,-0.0768098,0.6093606,-0.5929706,0.4340191,-0.5266908,0.1532391,0.4629764,-1.5112528
NA,1.1224797,0.0521781,0.5087817,-0.000381,NA,0.8204866,-0.0690746,-0.1450938,-0.6301297,-0.7552038,-1.7227361,NA,-0.4576652,-1.2288508,-0.4837271,-1.4010122,-2.3010899
0.453286,0.0738487,0.4736943,NA,0.5997749,-0.2657212,1.7543267,0.4503004,1.2045484,-1.3295114,-2.2723818,-1.5861285,-0.9447336,-1.390068,-1.4525025,-2.8042678,-1.2891276,-0.8438471
